ym;nyield;ngdp;inflation;rpax
200201;0,86;112,4;0,52%;17107
200202;0,87;111,5;0,36%;13406
200203;0,86;118,4;0,60%;13368
200204;0,78;120,4;0,80%;12690
200205;0,78;123,6;0,21%;14330
200206;0,83;123,4;0,42%;13031
200207;1,03;126,9;1,19%;16723
200208;1,10;127,8;0,65%;12951
200209;1,10;125,1;0,72%;13137
200210;1,22;133,1;1,31%;11717
200211;1,26;136,0;3,02%;9188
200212;1,29;130,2;2,10%;11079
200301;1,12;127,2;2,25%;13486
200302;0,98;131,4;1,57%;8675
200303;0,89;138,7;1,23%;9901
200304;1,03;141,4;0,97%;9378
200305;1,13;139,6;0,61%;8706
200306;1,12;138,0;-0,15%;8596
200307;1,12;146,0;0,20%;10053
200308;1,13;144,8;0,34%;11050
200309;1,14;148,6;0,78%;10228
200310;1,14;154,9;0,29%;9968
200311;1,11;153,6;0,34%;8207
200312;1,07;153,8;0,52%;12628
200401;1,09;144,6;0,76%;11073
200402;1,10;142,9;0,61%;9736
200403;1,05;157,4;0,47%;9455
200404;0,95;157,0;0,37%;10044
200405;0,86;159,5;0,51%;10037
200406;0,97;165,3;0,71%;9700
200407;0,98;171,4;0,91%;10980
200408;0,89;169,2;0,69%;10927
200409;0,99;164,7;0,33%;9405
200410;1,07;170,5;0,44%;9428
200411;1,06;176,9;0,69%;8863
200412;1,06;178,5;0,86%;10903
200501;1,10;163,5;0,58%;12387
200502;1,04;160,7;0,59%;9972
200503;0,94;175,5;0,61%;86673
200504;0,91;177,2;0,87%;128501
200505;0,85;177,5;0,49%;130851
200506;0,83;180,9;-0,02%;123458
200507;0,93;184,1;0,25%;145063
200508;0,86;187,2;0,17%;125977
200509;0,81;181,5;0,35%;138241
200510;0,90;189,2;0,75%;143577
200511;1,00;194,8;0,55%;126383
200512;1,05;198,5;0,36%;125029
200601;1,05;185,6;0,59%;124275
200602;1,02;178,5;0,41%;114560
200603;0,72;190,2;0,43%;127141
200604;0,81;185,0;0,21%;139083
200605;0,69;197,9;0,10%;148424
200606;0,71;199,1;-0,21%;145982
200607;0,91;207,0;0,19%;148369
200608;0,92;209,8;0,05%;151223
200609;0,82;201,1;0,21%;146938
200610;0,89;214,3;0,33%;147279
200611;0,58;219,7;0,31%;132274
200612;0,68;221,4;0,48%;120131
200701;0,54;211,1;0,44%;141657
200702;0,55;202,7;0,44%;113490
200703;0,50;217,6;0,37%;147074
200704;0,46;215,1;0,25%;162245
200705;0,47;226,5;0,28%;154177
200706;0,61;229,0;0,28%;148162
200707;0,65;233,8;0,24%;157685
200708;0,77;235,0;0,47%;153472
200709;0,56;223,0;0,18%;172239
200710;0,66;241,9;0,30%;147330
200711;0,67;241,9;0,38%;159140
200712;0,67;242,5;0,74%;172696
200801;0,64;237,2;0,54%;164930
200802;0,69;232,7;0,49%;167080
200803;0,79;242,1;0,48%;188892
200804;0,86;248,8;0,55%;212013
200805;0,98;254,9;0,79%;209136
200806;0,76;265,8;0,74%;198608
200807;1,00;278,1;0,53%;205429
200808;0,79;269,2;0,28%;182509
200809;0,69;265,3;0,26%;170683
200810;0,74;280,5;0,45%;177971
200811;0,73;270,7;0,36%;166726
200812;0,69;264,4;0,28%;177759
200901;0,67;249,9;0,48%;185106
200902;0,60;244,0;0,55%;152027
200903;0,58;262,2;0,20%;183856
200904;0,58;259,6;0,48%;192720
200905;0,55;268,3;0,47%;189024
200906;0,48;275,7;0,36%;188735
200907;0,57;285,4;0,24%;230490
200908;0,56;284,2;0,15%;219434
200909;0,48;283,2;0,24%;242350
200910;0,53;301,9;0,28%;270624
200911;0,58;305,0;0,41%;245807
200912;0,51;313,5;0,37%;267647
201001;0,48;289,0;0,75%;255260
201002;0,41;285,7;0,78%;226225
201003;0,47;311,7;0,52%;270361
201004;0,44;307,1;0,57%;260406
201005;0,46;316,0;0,43%;252679
201006;0,42;321,0;0,00%;248548
201007;0,39;332,5;0,01%;289802
201008;0,36;334,2;0,04%;288268
201009;0,39;331,3;0,45%;298449
201010;0,38;345,0;0,75%;309802
201011;0,41;356,7;0,83%;301745
201012;0,42;355,8;0,63%;330166
201101;0,36;333,3;0,83%;353588
201102;0,40;335,0;0,80%;300392
201103;0,33;347,9;0,79%;352076
201104;0,35;349,0;0,77%;363216
201105;0,38;366,3;0,47%;353674
201106;0,38;371,0;0,15%;337178
201107;0,31;373,1;0,16%;414720
201108;0,34;376,8;0,37%;387287
201109;0,41;361,7;0,53%;395639
201110;0,42;378,5;0,43%;406966
201111;0,45;389,6;0,52%;383252
201112;0,42;391,6;0,50%;411585
201201;0,39;367,2;0,56%;409357
201202;0,42;367,2;0,45%;356500
201203;0,35;393,0;0,21%;402796
201204;0,34;381,8;0,64%;415525
201205;0,34;400,3;0,36%;402944
201206;0,35;398,7;0,08%;389302
201207;0,35;414,6;0,43%;479827
201208;0,34;419,9;0,41%;415075
201209;0,36;393,5;0,57%;409458
201210;0,40;422,7;0,59%;413245
201211;0,48;423,8;0,60%;378098
201212;0,49;423,2;0,79%;383721
201301;0,41;414,1;0,86%;396579
201302;0,40;398,6;0,60%;328781
201303;0,40;427,4;0,47%;369409
201304;0,31;438,9;0,55%;384658
201305;0,34;439,1;0,37%;389764
201306;0,37;442,9;0,26%;366787
201307;0,42;458,5;0,03%;430155
201308;0,42;452,9;0,24%;380206
201309;0,40;438,8;0,35%;403084
201310;0,43;466,2;0,57%;419101
201311;0,36;465,7;0,54%;402459
201312;0,41;473,6;0,92%;430124
201401;0,38;455,9;0,55%;431723
201402;0,43;450,4;0,69%;355933
201403;0,40;462,2;0,92%;373172
201404;0,35;468,8;0,67%;385033
201405;0,34;473,3;0,46%;389667
201406;0,34;458,5;0,40%;376440
201407;0,35;482,0;0,01%;416692
201408;0,37;477,1;0,25%;416324
201409;0,35;476,5;0,57%;411639
201410;0,36;493,3;0,42%;447386
201411;0,37;489,5;0,51%;419001
201412;0,35;499,9;0,78%;448538
201501;0,32;472,9;1,24%;462495
201502;0,30;460,2;1,22%;358433
201503;0,27;501,8;1,32%;415042
201504;0,26;486,6;0,71%;430805
201505;0,30;483,2;0,74%;420443
201506;0,32;486,6;0,79%;397689
201507;0,35;502,3;0,62%;487223
201508;0,35;492,5;0,22%;407996
201509;0,37;496,0;0,54%;418488
201510;0,38;518,8;0,82%;434300
201511;0,34;513,8;1,01%;402904
201512;0,34;521,6;0,96%;429111
201601;0,30;489,9;1,27%;410896
201602;0,31;490,7;0,90%;352451
201603;0,30;517,8;0,43%;365226
201604;0,28;508,7;0,61%;345117
201605;0,28;513,3;0,78%;332966
201606;0,29;535,7;0,35%;328557
201607;0,31;533,0;0,52%;377503
201608;0,31;534,6;0,44%;344472
201609;0,33;512,6;0,08%;344170
201610;0,35;559,8;0,26%;351353
201611;0,33;549,4;0,18%;349551
201612;0,31;555,6;0,30%;370106
